"id","memberId","loanAmount","fundedAmount","term","intRate","expDefaultRate","serviceFeeRate","installment","grade","subGrade","empLength","homeOwnership","annualInc","isIncV","acceptD","expD","listD","creditPullD","reviewStatusD","reviewStatus","desc","purpose","addrZip","addrState","investorCount","ilsExpD","initialListStatus","empTitle","accNowDelinq","accOpenPast24Mths","bcOpenToBuy","percentBcGt75","bcUtil","dti","delinq2Yrs","delinqAmnt","earliestCrLine","ficoRangeLow","ficoRangeHigh","inqLast6Mths","mthsSinceLastDelinq","mthsSinceLastRecord","mthsSinceRecentInq","mthsSinceRecentRevolDelinq","mthsSinceRecentBc","mortAcc","openAcc","pubRec","totalBalExMort","revolBal","revolUtil","totalBcLimit","totalAcc","totalIlHighCreditLimit","numRevAccts","mthsSinceRecentBcDlq","pubRecBankruptcies","numAcctsEver120Ppd","chargeoffWithin12Mths","collections12MthsExMed","taxLiens","mthsSinceLastMajorDerog","numSats","numTlOpPast12m","moSinRcntTl","totHiCredLim","totCurBal","avgCurBal","numBcTl","numActvBcTl","numBcSats","pctTlNvrDlq","numTl90gDpd24m","numTl30dpd","numTl120dpd2m","numIlTl","moSinOldIlAcct","numActvRevTl","moSinOldRevTlOp","moSinRcntRevTlOp","totalRevHiLim","numRevTlBalGt0","numOpRevTl","totCollAmt","applicationType","annualIncJoint","dtiJoint","isIncVJoint","openAcc6m","openIl6m","openIl12m","openIl24m","mthsSinceRcntIl","totalBalIl","iLUtil","openRv12m","openRv24m","maxBalBc","allUtil","inqFi","totalCuTl","inqLast12m","earliestCrLineMonths","installmentIncomeRatio","revolBalAnnualIncRatio","model","pctFunded"
81414759,87167548,12600,0,36,22.35,13.91,1.11,483.49,"E","E2",12,"RENT",35000,"NOT_VERIFIED","2016-05-29T09:39:02.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-05-29T09:38:23.000-07:00",,"NOT_APPROVED",,"debt_consolidation","337xx","FL",,"2016-06-27T10:00:00.000-07:00","F","PE Teacher",0,4,165,100,96.8,21.57,0,0,2003-05-28,690,694,0,,,14,,13,0,7,0,97633,5035,96.8,5200,19,103134,3,,0,0,0,0,0,,7,1,12,108334,97633,13948,3,3,3,94,0,0,0,16,156,3,34,13,5200,3,3,0,"INDIVIDUAL",,,,0,4,1,2,12,92598,75.8,0,2,3931,78.7,1,0,0,156,0.165768,0.143857142857143,0.736103325051206,0
83182188,89073900,7500,0,36,7.59,1.84,0.78,233.61,"A","A3",108,"RENT",88151.33,"NOT_VERIFIED","2016-06-11T06:18:11.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-10T17:29:25.000-07:00","2016-06-27T08:04:04.000-07:00","APPROVED",,"credit_card","336xx","FL",,"2016-06-27T10:00:00.000-07:00","F","Sr. BSA",0,1,7709,66.7,81.2,13.53,0,0,1997-02-10,710,714,0,,,,,54,0,4,0,50517,33391,81.2,41100,15,20124,9,,0,0,0,0,0,,4,1,7,61224,50517,12629,9,3,3,100,0,0,0,6,141,3,232,54,41100,3,3,0,"INDIVIDUAL",,,,0,1,1,1,7,17126,85.1,0,0,15615,82.5,0,5,0,232,0.0318012218306859,0.378791789074538,0.946258351465402,0
83164376,89056155,6000,0,36,16.99,8.5,1.05,213.89,"D","D1",120,"MORTGAGE",20000,"NOT_VERIFIED","2016-06-14T18:47:38.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-14T18:46:48.000-07:00","2016-06-27T08:52:13.000-07:00","APPROVED",,"home_improvement","114xx","NY",,"2016-06-27T10:00:00.000-07:00","F","chef",0,2,63,100,97.6,13.51,1,0,1990-03-14,685,689,0,6,,23,6,91,0,3,0,3468,3468,52.5,2600,7,0,7,6,0,1,0,0,0,70,3,0,18,6600,3468,1156,4,1,1,71,0,0,0,0,,3,315,18,6600,3,3,0,"INDIVIDUAL",,,,0,0,0,0,,0,,0,2,2537,52.5,0,0,0,314,0.128334,0.1734,0.79937943053904,0
81527130,87270109,30000,0,36,7.89,2.15,0.78,938.57,"A","A5",120,"MORTGAGE",126639,"VERIFIED","2016-06-06T14:25:11.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-06T14:23:20.000-07:00","2016-06-27T07:47:13.000-07:00","APPROVED",,"home_improvement","080xx","NJ",,"2016-06-27T10:00:00.000-07:00","F","Chief Financial Officer",0,0,10321,85.7,85,34.1,0,0,1982-04-05,715,719,0,,,15,,62,3,19,0,138427,149604,86,72250,29,114286,12,,0,0,0,0,0,,19,0,25,457436,375738,19775,8,7,8,100,0,0,,14,155,11,410,25,173650,11,11,0,"INDIVIDUAL",,,,0,7,0,0,33,67682,59,0,0,16968,86,0,0,0,410,0.0889365835169261,1.18134224054201,0.903740039579887,0
83315099,89206912,6000,0,36,15.59,7.71,0.96,209.73,"C","C5",24,"MORTGAGE",75000,"SOURCE_VERIFIED","2016-06-15T14:39:13.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-15T14:32:33.000-07:00","2016-06-27T08:12:08.000-07:00","APPROVED",,"home_improvement","661xx","KS",,"2016-06-27T10:00:00.000-07:00","F","Public Relatiosn",0,8,1182,0,21.2,6.3,0,0,1997-11-14,660,664,1,43,,1,43,15,0,9,0,8112,2006,25.7,1500,13,7653,10,43,0,2,0,0,0,47,9,6,1,15453,8112,1014,5,3,4,76,0,0,0,3,27,6,223,1,7800,6,8,751,"INDIVIDUAL",,,,3,1,2,2,5,6106,79.8,4,6,165,52.5,0,3,7,222,0.0335568,0.0267466666666667,0.944199455237827,0
83785583,89753312,4000,0,36,10.49,3.85,0.85,130,"B","B3",,"MORTGAGE",46546.92,"NOT_VERIFIED","2016-06-17T09:20:14.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-17T09:16:41.000-07:00","2016-06-27T08:13:46.000-07:00","APPROVED",,"home_improvement","983xx","WA",,"2016-06-27T10:00:00.000-07:00","F",,0,2,69,100,93.1,10.42,0,0,2001-09-16,670,674,0,,60,19,,52,4,7,1,4595,2633,30.3,1000,24,19206,17,,1,0,0,0,0,,6,2,11,27906,4595,656,4,1,1,100,0,0,0,3,177,4,164,11,8700,4,6,125,"INDIVIDUAL",,,,0,1,0,0,73,1962,10.2,2,2,931,16.5,1,2,0,176,0.033514569814716,0.0565665784116328,0.861770714113798,0
83173695,89065462,9600,0,36,7.59,1.84,0.78,299.02,"A","A3",120,"MORTGAGE",60000,"SOURCE_VERIFIED","2016-06-14T06:02:26.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-14T05:57:10.000-07:00","2016-06-27T07:54:12.000-07:00","APPROVED",,"debt_consolidation","310xx","GA",,"2016-06-27T10:00:00.000-07:00","F","Lead Technician",0,5,4777,66.7,60.2,6.8,0,0,2006-07-13,685,689,0,47,,9,47,9,2,9,0,34853,34853,65.4,12000,21,0,10,,0,0,0,0,0,,9,2,2,140041,97561,12195,3,3,3,95,0,0,0,9,119,7,108,2,53300,7,8,0,"INDIVIDUAL",,,,1,0,0,2,20,0,,2,3,4464,65.4,0,8,1,118,0.059804,0.580883333333333,0.927867327786787,0
83775674,89743405,4500,0,36,12.79,5.47,0.96,151.17,"C","C1",72,"OWN",99996,"VERIFIED","2016-06-17T12:03:42.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-17T12:03:00.000-07:00","2016-06-27T08:09:09.000-07:00","APPROVED",,"other","335xx","FL",,"2016-06-27T10:00:00.000-07:00","F","regional manager",0,10,7252,40,54.1,29.57,0,0,2003-06-16,690,694,1,,86,0,,10,0,11,1,124874,9126,38,15800,22,137660,11,,1,0,0,0,0,,11,3,0,161660,124874,11352,6,5,5,100,0,0,0,11,156,6,61,0,24000,6,9,5904,"INDIVIDUAL",,,,1,2,1,3,12,115748,,2,7,3053,38,2,1,7,155,0.0181411256450258,0.0912636505460218,0.836783526691655,0
83518440,89447157,6750,0,36,17.99,9.35,1.05,244,"D","D2",0,"RENT",21120,"VERIFIED","2016-06-16T09:49:42.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-15T18:56:11.000-07:00","2016-06-27T08:28:27.000-07:00","APPROVED",,"credit_card","786xx","TX",,"2016-06-27T10:00:00.000-07:00","F","Front Desk Reception ",0,1,275,100,96.1,9.43,0,0,2008-08-15,660,664,0,44,,12,44,19,0,7,0,34640,6725,85.1,7000,12,19600,5,,0,0,0,0,0,,7,0,19,27500,34640,5773,3,2,3,90,0,0,0,7,94,2,71,19,7900,2,4,0,"INDIVIDUAL",,,,0,3,0,0,70,27915,142.4,0,1,4394,126,1,0,2,93,0.138636363636364,0.318418560606061,0.851938652638944,0
81526854,87269815,24000,0,36,9.49,2.94,0.85,768.68,"B","B2",84,"RENT",70000,"NOT_VERIFIED","2016-06-12T11:22:08.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-05T17:17:11.000-07:00","2016-06-27T08:09:49.000-07:00","APPROVED",,"credit_card","282xx","NC",,"2016-06-27T10:00:00.000-07:00","F","Long Term Disability Claims Manager",0,4,22874,30.8,39.2,18.57,2,0,2000-11-05,660,664,0,10,,12,10,7,0,31,0,87257,54577,38.5,77300,39,43948,20,10,0,0,0,0,0,,31,2,7,122248,87257,2815,17,6,13,94,0,0,0,19,187,7,138,7,78300,7,14,0,"INDIVIDUAL",,,,0,17,0,1,20,32680,74.4,2,3,41379,58.6,0,0,1,187,0.131773714285714,0.779671428571429,0.931208069794053,0
