"loanId","requestedAmount","investedAmount","executionStatus","addrZip","memberId","loanAmount","fundedAmount","term","intRate","expDefaultRate","serviceFeeRate","installment","grade","subGrade","empLength","homeOwnership","annualInc","isIncV","acceptD","expD","listD","creditPullD","reviewStatusD","reviewStatus","desc","purpose","addrState","investorCount","ilsExpD","initialListStatus","empTitle","accNowDelinq","accOpenPast24Mths","bcOpenToBuy","percentBcGt75","bcUtil","dti","delinq2Yrs","delinqAmnt","earliestCrLine","ficoRangeLow","ficoRangeHigh","inqLast6Mths","mthsSinceLastDelinq","mthsSinceLastRecord","mthsSinceRecentInq","mthsSinceRecentRevolDelinq","mthsSinceRecentBc","mortAcc","openAcc","pubRec","totalBalExMort","revolBal","revolUtil","totalBcLimit","totalAcc","totalIlHighCreditLimit","numRevAccts","mthsSinceRecentBcDlq","pubRecBankruptcies","numAcctsEver120Ppd","chargeoffWithin12Mths","collections12MthsExMed","taxLiens","mthsSinceLastMajorDerog","numSats","numTlOpPast12m","moSinRcntTl","totHiCredLim","totCurBal","avgCurBal","numBcTl","numActvBcTl","numBcSats","pctTlNvrDlq","numTl90gDpd24m","numTl30dpd","numTl120dpd2m","numIlTl","moSinOldIlAcct","numActvRevTl","moSinOldRevTlOp","moSinRcntRevTlOp","totalRevHiLim","numRevTlBalGt0","numOpRevTl","totCollAmt","applicationType","annualIncJoint","dtiJoint","isIncVJoint","openAcc6m","openIl6m","openIl12m","openIl24m","mthsSinceRcntIl","totalBalIl","iLUtil","openRv12m","openRv24m","maxBalBc","allUtil","inqFi","totalCuTl","inqLast12m","earliestCrLineMonths","installmentIncomeRatio","revolBalAnnualIncRatio","model","pctFunded","population","avgWage","amountTerm","amountTermIncomeRatio"
36109023,25,0,"NOT_AN_IN_FUNDING_LOAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81414759,,,"","337xx",87167548,12600,0,36,22.35,13.91,1.11,483.49,"E","E2",12,"RENT",35000,"NOT_VERIFIED","2016-05-29T09:39:02.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-05-29T09:38:23.000-07:00","","NOT_APPROVED",,"debt_consolidation","FL",,"2016-06-27T10:00:00.000-07:00",FALSE,"PE Teacher",0,4,165,100,96.8,21.57,0,0,2003-05-28,690,694,0,,,14,,13,0,7,0,97633,5035,96.8,5200,19,103134,3,,0,0,0,0,0,,7,1,12,108334,97633,13948,3,3,3,94,0,0,0,16,156,3,34,13,5200,3,3,0,"INDIVIDUAL",,,,0,4,1,2,12,92598,75.8,0,2,3931,78.7,1,0,0,157,0.165768,0.143857142857143,0.531627535820007,0,1330281,34334,350,0.12
81476274,,,"","920xx",87219179,34425,0,36,18.99,10.15,1.05,1261.71,"D","D3",120,"RENT",82000,"VERIFIED","2016-06-20T15:13:42.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-14T16:18:11.000-07:00","2016-06-27T07:24:48.000-07:00","APPROVED",,"debt_consolidation","CA",,"2016-06-27T10:00:00.000-07:00",FALSE,"teacher",0,2,2454,100,84.9,30.78,0,0,1988-08-13,705,709,1,59,,1,,183,2,6,0,73500,28165,87.5,16200,19,59222,7,,0,2,0,0,0,59,6,2,9,91422,73500,12250,2,1,1,88,0,0,0,10,112,3,334,11,32200,3,3,0,"INDIVIDUAL",,,,0,3,1,1,9,45335,76.6,1,1,13746,80.4,1,7,1,335,0.184640487804878,0.343475609756098,0.707051932811737,0,1405504,48550,956.25,0.139939024390244
81526854,,,"","282xx",87269815,24000,0,36,9.49,2.94,0.85,768.68,"B","B2",84,"RENT",70000,"NOT_VERIFIED","2016-06-12T11:22:08.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-05T17:17:11.000-07:00","2016-06-27T08:09:49.000-07:00","APPROVED",,"credit_card","NC",,"2016-06-27T10:00:00.000-07:00",FALSE,"Long Term Disability Claims Manager",0,4,22874,30.8,39.2,18.57,2,0,2000-11-05,660,664,0,10,,12,10,7,0,31,0,87257,54577,38.5,77300,39,43948,20,10,0,0,0,0,0,,31,2,7,122248,87257,2815,17,6,13,94,0,0,0,19,187,7,138,7,78300,7,14,0,"INDIVIDUAL",,,,0,17,0,1,20,32680,74.4,2,3,41379,58.6,0,0,1,188,0.131773714285714,0.779671428571429,0.483915686607361,0,599075,45317,666.666666666667,0.114285714285714
81527130,,,"","080xx",87270109,30000,0,36,7.89,2.15,0.78,938.57,"A","A5",120,"MORTGAGE",126639,"VERIFIED","2016-06-06T14:25:11.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-06T14:23:20.000-07:00","2016-06-27T07:47:13.000-07:00","APPROVED",,"home_improvement","NJ",,"2016-06-27T10:00:00.000-07:00",FALSE,"Chief Financial Officer",0,0,10321,85.7,85,34.1,0,0,1982-04-05,715,719,0,,,15,,62,3,19,0,138427,149604,86,72250,29,114286,12,,0,0,0,0,0,,19,0,25,457436,375738,19775,8,7,8,100,0,0,,14,155,11,410,25,173650,11,11,0,"INDIVIDUAL",,,,0,7,0,0,33,67682,59,0,0,16968,86,0,0,0,411,0.0889365835169261,1.18134224054201,0.705080032348633,0,4299036,49077,833.333333333333,0.0789646159555903
83164376,,,"","114xx",89056155,6000,0,36,16.99,8.5,1.05,213.89,"D","D1",120,"MORTGAGE",20000,"NOT_VERIFIED","2016-06-14T18:47:38.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-14T18:46:48.000-07:00","2016-06-27T08:52:13.000-07:00","APPROVED",,"home_improvement","NY",,"2016-06-27T10:00:00.000-07:00",FALSE,"chef",0,2,63,100,97.6,13.51,1,0,1990-03-14,685,689,0,6,,23,6,91,0,3,0,3468,3468,52.5,2600,7,0,7,6,0,1,0,0,0,70,3,0,18,6600,3468,1156,4,1,1,71,0,0,0,0,,3,315,18,6600,3,3,0,"INDIVIDUAL",,,,0,0,0,0,,0,,0,2,2537,52.5,0,0,0,316,0.128334,0.1734,0.818547010421753,0,2306513,34311,166.666666666667,0.1
83173578,,,"","014xx",89065341,35000,0,60,26.99,12.55,0.71,1068.53,"F","F3",120,"RENT",95000,"VERIFIED","2016-06-14T08:15:43.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-13T19:50:13.000-07:00","2016-06-27T08:22:31.000-07:00","APPROVED",,"debt_consolidation","MA",,"2016-06-27T10:00:00.000-07:00",FALSE,"OPS nco ",0,6,12714,14.3,59.9,11.97,0,0,1984-07-13,690,694,1,,,5,,3,0,11,0,18986,18986,56.7,31700,13,0,10,,0,0,0,0,0,,11,5,3,35365,18986,1899,7,6,7,100,0,0,0,2,26,6,383,3,33500,6,10,0,"INDIVIDUAL",,,,3,0,0,0,25,0,,5,6,7353,53.7,0,1,1,384,0.134972210526316,0.199852631578947,0.66072940826416,0,239764,48490,583.333333333333,0.0736842105263158
83173695,,,"","310xx",89065462,9600,0,36,7.59,1.84,0.78,299.02,"A","A3",120,"MORTGAGE",60000,"SOURCE_VERIFIED","2016-06-14T06:02:26.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-14T05:57:10.000-07:00","2016-06-27T07:54:12.000-07:00","APPROVED",,"debt_consolidation","GA",,"2016-06-27T10:00:00.000-07:00",FALSE,"Lead Technician",0,5,4777,66.7,60.2,6.8,0,0,2006-07-13,685,689,0,47,,9,47,9,2,9,0,34853,34853,65.4,12000,21,0,10,,0,0,0,0,0,,9,2,2,140041,97561,12195,3,3,3,95,0,0,0,9,119,7,108,2,53300,7,8,0,"INDIVIDUAL",,,,1,0,0,2,20,0,,2,3,4464,65.4,0,8,1,120,0.059804,0.580883333333333,0.935861110687256,0,648968,30806,266.666666666667,0.0533333333333333
83182188,,,"","336xx",89073900,7500,0,36,7.59,1.84,0.78,233.61,"A","A3",108,"RENT",88151.33,"NOT_VERIFIED","2016-06-11T06:18:11.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-10T17:29:25.000-07:00","2016-06-27T08:04:04.000-07:00","APPROVED",,"credit_card","FL",,"2016-06-27T10:00:00.000-07:00",FALSE,"Sr. BSA",0,1,7709,66.7,81.2,13.53,0,0,1997-02-10,710,714,0,,,,,54,0,4,0,50517,33391,81.2,41100,15,20124,9,,0,0,0,0,0,,4,1,7,61224,50517,12629,9,3,3,100,0,0,0,6,141,3,232,54,41100,3,3,0,"INDIVIDUAL",,,,0,1,1,1,7,17126,85.1,0,0,15615,82.5,0,5,0,233,0.0318012218306859,0.378791789074538,0.910926878452301,0,1053742,39613,208.333333333333,0.0283603208255621
83315099,,,"","661xx",89206912,6000,0,36,15.59,7.71,0.96,209.73,"C","C5",24,"MORTGAGE",75000,"SOURCE_VERIFIED","2016-06-15T14:39:13.000-07:00","2016-07-11T09:52:00.000-07:00","2016-06-27T10:00:00.000-07:00","2016-06-15T14:32:33.000-07:00","2016-06-27T08:12:08.000-07:00","APPROVED",,"home_improvement","KS",,"2016-06-27T10:00:00.000-07:00",FALSE,"Public Relatiosn",0,8,1182,0,21.2,6.3,0,0,1997-11-14,660,664,1,43,,1,43,15,0,9,0,8112,2006,25.7,1500,13,7653,10,43,0,2,0,0,0,47,9,6,1,15453,8112,1014,5,3,4,76,0,0,0,3,27,6,223,1,7800,6,8,751,"INDIVIDUAL",,,,3,1,2,2,5,6106,79.8,4,6,165,52.5,0,3,7,223,0.0335568,0.0267466666666667,0.845135867595673,0,125802,29547,166.666666666667,0.0266666666666667
